Canada
1,GK,Karina LeBlanc,30 March 1980 (31),88,0,United States Chicago Red Stars
2,DF,Emily Zurrer,12 July 1987 (23),45,2,Canada Vancouver Whitecaps
3,MF,Kelly Parker,8 March 1981 (30),14,1,United States Atlanta Beat
4,MF,Carmelina Moscato,2 May 1984 (27),52,2,Unattached
5,DF,Robyn Gayle,31 October 1985 (25),44,0,Canada Vancouver Whitecaps
6,MF,Kaylyn Kyle,6 October 1988 (22),32,2,Canada Vancouver Whitecaps
7,DF,Rhian Wilkinson,12 May 1982 (29),100,7,Norway Lillestrøm SK
8,MF,Diana Matheson,6 April 1984 (27),122,10,Norway Lillestrøm SK
9,DF,Candace Chapman,2 April 1983 (28),88,6,United States Western New York Flash
10,FW,Jodi-Ann Robinson,17 April 1989 (22),50,7,Canada Vancouver Whitecaps
11,MF,Desiree Scott,31 July 1987 (23),22,0,Canada Vancouver Whitecaps
12,FW,Christine Sinclair,12 June 1983 (28),159,116,United States Western New York Flash
13,MF,Sophie Schmidt,28 June 1988 (22),63,3,Canada Vancouver Whitecaps
14,FW,Melissa Tancredi,27 December 1981 (29),61,13,Canada Vancouver Whitecaps
15,FW,Christina Julien,6 May 1988 (23),28,7,Canada Ottawa Fury
16,FW,Jonelle Filigno,24 September 1990 (20),39,8,United States Rutgers University
17,DF,Brittany Timko,5 September 1985 (25),101,4,Unattached
18,GK,Erin McLeod,26 February 1983 (28),62,0,United States Chicago Red Stars
19,MF,Chelsea Stewart,28 April 1990 (21),23,0,Canada Vancouver Whitecaps
20,DF,Marie-Ève Nault,16 February 1982 (29),43,0,Canada Ottawa Fury
21,GK,Stephanie Labbé,10 October 1986 (24),8,0,Sweden Piteå IF

France
1,GK,Céline Deville,24 January 1982 (29),42,0,France Montpellier
2,DF,Wendie Renard,20 July 1990 (20),7,0,France Lyon
3,DF,Laure Boulleau,22 October 1986 (24),13,1,France Paris Saint-Germain
4,DF,Laura Georges,20 August 1984 (26),98,2,France Lyon
5,DF,Ophélie Meilleroux,18 January 1984 (27),44,0,France Montpellier
6,MF,Sandrine Soubeyrand,16 August 1973 (37),161,17,France Juvisy
7,MF,Corine Franco,5 October 1983 (27),47,8,France Lyon
8,DF,Sonia Bompastor,8 June 1980 (31),128,15,France Lyon
9,FW,Eugénie Le Sommer,18 May 1989 (22),34,9,France Lyon
10,MF,Camille Abily,5 December 1984 (26),75,19,France Lyon
11,DF,Laure Lepailleur,7 March 1985 (26),28,2,France Paris Saint-Germain
12,FW,Élodie Thomis,13 August 1986 (24),52,15,France Lyon
13,MF,Caroline Pizzala,23 November 1987 (23),15,0,France Paris Saint-Germain
14,MF,Louisa Nécib,23 January 1987 (24),58,10,France Lyon
15,MF,Élise Bussaglia,24 September 1985 (25),81,18,France Paris Saint-Germain
16,GK,Bérangère Sapowicz,6 February 1983 (28),18,0,France Paris Saint-Germain
17,FW,Gaëtane Thiney,28 October 1985 (25),48,19,France Juvisy
18,FW,Marie-Laure Delie,29 January 1988 (23),20,21,France Montpellier
19,FW,Sandrine Brétigny,2 July 1984 (26),19,9,France Lyon
20,DF,Sabrina Viguier,4 January 1981 (30),85,1,France Lyon
21,GK,Laëtitia Philippe,30 April 1991 (20),1,0,France Montpellier

Germany
1,GK,Nadine Angerer,10 November 1978 (32),97,0,Germany 1. FFC Frankfurt
