Denmark
1,GK,Dorthe Larsen,8 August 1969 (29),,,
2,FW,Hanne Sand Christensen,22 September 1973 (25),,,
3,FW,Karina Christensen,1 July 1973 (25),,,
4,FW,Lene Terp,15 April 1973 (26),,,
5,FW,Marlene Kristensen,28 May 1973 (26),,,
6,MF,Jeanne Axelsen,3 January 1968 (31),,,
7,MF,Louise Hansen,4 May 1975 (24),,,
8,MF,Janne Rasmussen,18 July 1970 (28),,,
9,FW,Christina Petersen,17 September 1974 (24),,,
10,FW,Gitte Krogh,13 May 1977 (22),,,
11,FW,Merete Pedersen,30 June 1973 (25),,,
12,FW,Lene Jensen,17 March 1976 (23),,,
13,DF,Ulla Knudsen,21 June 1976 (22),,,
14,DF,Katrine Pedersen,13 April 1977 (22),,,
15,FW,Mikka Hansen,11 November 1975 (23),,,
16,GK,Christina Jensen,21 January 1974 (25),,,
17,MF,Hanne Nørregaard,21 December 1968 (30),,,
18,DF,Lise Søndergaard,27 October 1973 (25),,,
19,FW,Janni Johansen,14 January 1976 (23),,,
20,DF,Anne-Mette Christensen,4 March 1973 (26),,,

Nigeria
1,GK,Ann Chiejine,2 February 1974 (25),,,
2,DF,Yinka Kudaisi,25 August 1975 (23),,,
3,MF,Martha Tarhemba,1 April 1978 (21),,,
4,DF,Adanna Nwaneri,31 August 1975 (23),,,
5,DF,Eberechi Opara,6 March 1976 (23),,,
6,DF,Florence Ajayi,28 April 1977 (22),,,
7,FW,Stella Mbachu,16 April 1978 (21),,,
8,FW,Rita Nwadike,3 November 1974 (24),,,
9,MF,Gloria Usieta,19 June 1977 (22),,,
10,DF,Mavis Ogun,24 August 1973 (25),,,
11,DF,Prisca Emeafu,30 March 1972 (27),,,
12,GK,Judith Chime,20 May 1978 (21),,,
13,MF,Nkiru Okosieme,1 March 1972 (27),,,
14,MF,Florence Omagbemi,2 February 1975 (24),,,
15,MF,Maureen Mmadu,7 May 1975 (24),,,
16,DF,Florence Iweta,29 March 1983 (16),,,
17,FW,Nkechi Egbe,5 February 1978 (21),,,
18,FW,Patience Avre,10 June 1976 (23),,,
19,FW,Mercy Akide,26 August 1975 (23),,,
20,MF,Ifeanyi Chiejine,17 May 1983 (16),,,

Korea DPR
1,GK,Ri Jong-hui,20 August 1975 (23),,,
2,DF,Yun In-sil,10 January 1976 (23),,,
3,FW,Jo Song-ok,18 March 1974 (25),,,
4,DF,Kim Sun-hui,4 April 1972 (27),,,
5,DF,Kim Sun-hye,1 January 1977 (22),,,
6,MF,Sol Yong-suk,4 February 1975 (24),,,
7,MF,Ri Hyang-ok,18 December 1977 (21),,,
8,FW,Kim Song-ryo,5 June 1976 (23),,,
9,MF,Ri Kyong-ae,4 December 1972 (26),,,
10,MF,Kim Kum-sil,24 December 1970 (28),,,
11,FW,Jo Jong-ran,18 September 1971 (27),,,
12,DF,Kim Hye-ran,19 May 1970 (29),,,
13,DF,Ri Ae-gyong,12 September 1971 (27),,,
14,MF,Pak Jong-ae,3 April 1974 (25),,,
15,FW,Jin Pyol-hui,19 August 1980 (18),,,
16,MF,Ri Kum-suk,16 August 1978 (20),,,
17,DF,Yang Kyong-hui,21 January 1978 (21),,,
18,GK,Kye Yong-sun,27 March 1972 (27),,,
19,DF,Jang Ok-gyong,29 January 1980 (19),,,
20,MF,Kim Un-ok,18 April 1978 (21),,,

USA
1,GK,Briana Scurry,7 September 1971 (27),,0,
2,MF,Lorrie Fair,5 August 1978 (20),,1,United States University of North Carolina
3,DF,Christie Pearce,24 June 1975 (23),,3,
4,DF,Carla Overbeck,9 May 1968 (31),,7,
5,MF,Tiffany Roberts,5 May 1977 (22),,6,
6,DF,Brandi Chastain,21 July 1968 (30),,20,
7,MF,Sara Whalen,28 April 1976 (23),,2,
8,MF,Shannon MacMillan,7 October 1974 (24),,19,
9,FW,Mia Hamm,17 March 1972 (27),,111,
10,MF,Michelle Akers,1 February 1966 (33),,104,
11,MF,Julie Foudy,23 January 1971 (28),,29,
12,FW,Cindy Parlow,8 May 1978 (21),,25,
13,MF,Kristine Lilly,22 July 1971 (27),,71,
14,DF,Joy Fawcett,8 February 1968 (31),,18,
15,MF,Tisha Venturini,3 March 1973 (26),,41,
16,FW,Tiffeny Milbrett,23 October 1972 (26),,58,
17,FW,Danielle Fotopoulos,24 March 1976 (23),,8,
18,GK,Saskia Webber,13 June 1971 (28),,0,
19,GK,Tracy Ducar,18 June 1973 (26),,0,
20,DF,Kate Sobrero,23 August 1976 (22),,0,

Brazil
1,GK,Maravilha,10 April 1973 (26),,,
2,DF,Nenê,31 March 1976 (23),,,
3,DF,Elane,4 June 1968 (31),,,
4,DF,Tânia,3 October 1974 (24),,,
5,MF,Cidinha,6 October 1976 (22),,,
6,DF,Juliana,3 October 1981 (17),,,
7,FW,Maycon,30 April 1977 (22),,,
8,MF,Formiga,3 March 1978 (21),,,
9,FW,Kátia,18 February 1977 (22),,,
10,MF,Sissi,2 June 1967 (32),,,Brazil Palmeiras
11,DF,Suzana,12 October 1973 (25),,,
12,GK,Andréia,14 September 1977 (21),,,
13,DF,Fanta,14 September 1966 (32),,,
14,FW,Grazielle,28 March 1981 (18),,,
15,MF,Raquel,10 May 1978 (21),,,
16,DF,Marisa,10 August 1966 (32),,,
17,FW,Pretinha,19 May 1975 (24),,,
18,MF,Priscila,10 March 1982 (17),,,
19,MF,Valeria,9 March 1968 (31),,,
20,MF,Deva,16 April 1981 (18),,,

Germany
1,GK,Silke Rottenberg,25 January 1972 (27),5,,Germany Sportfreunde Siegen
2,DF,Kerstin Stegemann,29 September 1977 (21),42,,Germany FCR Duisburg
3,DF,Ariane Hingst,25 July 1979 (19),46,,Germany 1. FFC Turbine Potsdam
4,DF,Steffi Jones,22 December 1972 (26),38,,Germany SC 07 Bad Neuenahr
5,DF,Doris Fitschen,25 October 1968 (30),38,,Germany 1. FFC Frankfurt
6,MF,Melanie Hoffmann,29 November 1974 (24),14,,Germany FCR Duisburg
7,MF,Martina Voss,22 December 1967 (31),28,,Germany FCR Duisburg
8,MF,Sandra Smisek,3 July 1977 (21),18,,Germany FCR Duisburg
9,FW,Birgit Prinz,25 October 1977 (21),43,,Germany 1. FFC Frankfurt
10,MF,Bettina Wiegmann,7 October 1971 (27),44,,Germany Sportfreunde Siegen
11,MF,Maren Meinert,5 February 1973 (26),40,,Germany FCR Duisburg
12,FW,Claudia Müller,21 May 1974 (25),45,,Germany 1. FFC Frankfurt
13,DF,Sandra Minnert,7 April 1973 (26),42,,Germany FSV Frankfurt
14,DF,Tina Wunderlich,10 October 1977 (21),40,,Germany 1. FFC Frankfurt
15,GK,Nadine Angerer,10 November 1978 (20),25,,Germany FC Wacker München
16,MF,Renate Lingor,11 October 1975 (23),14,,Germany 1. FFC Frankfurt
17,DF,Pia Wunderlich,26 January 1975 (24),28,,Germany 1. FFC Frankfurt
18,FW,Inka Grings,31 October 1978 (20),17,,Germany FCR Duisburg
19,DF,Nicole Brandebusemeyer,9 October 1974 (24),46,,Germany Grün-Weiß Brauweiler
20,FW,Monika Meyer,23 June 1972 (26),17,,Germany 1. FFC Frankfurt

Italy
1,GK,Giorgia Brenzan,21 August 1967 (31),,,
2,DF,Damiana Deiana,26 June 1970 (28),,,
3,DF,Paola Zanni,12 June 1977 (22),,,
4,DF,Luisa Marchio,6 February 1971 (28),,,
5,DF,Daniela Tavalazzi,8 August 1972 (26),,,
6,DF,Elisa Miniati,6 January 1974 (25),,,
7,FW,Rita Guarino,31 January 1971 (28),,,
8,MF,Manuela Tesse,28 February 1976 (23),,,
9,FW,Patrizia Panico,8 February 1975 (24),,,
10,MF,Antonella Carta,1 March 1967 (32),,,
11,FW,Patrizia Sberti,6 July 1969 (29),,,
12,GK,Fabiana Comin,20 March 1970 (29),,,
13,DF,Anna Duò,8 August 1972 (26),,,
14,MF,Federica D'Astolfo,27 October 1966 (32),,,
15,DF,Adele Frollani,4 August 1974 (24),,,
16,MF,Tatiana Zorri,19 October 1977 (21),,,
17,FW,Silvia Tagliacarne,8 August 1975 (23),,,
18,MF,Silvia Fiorini,24 December 1969 (29),,,
19,MF,Alessandra Pallotti,7 September 1974 (24),,,
20,DF,Roberta Stefanelli,18 May 1974 (25),,,

Mexico
1,GK,Linnea Quiñones,17 July 1980 (18),,,United States San Diego State Aztecs
2,DF,Susana Mora,26 January 1979 (20),,,United States USC Trojans
3,DF,Martha Moore,14 April 1981 (18),,,United States Texas A&M Aggies
4,DF,Gina Oceguera,9 April 1977 (22),,,United States Cal Poly Mustangs
5,MF,Patricia Pérez,17 December 1978 (20),,,
6,MF,Fátima Leyva,14 February 1980 (19),,,Mexico Laguna de Iztacalco
7,MF,Mónica Vergara,2 May 1983 (16),,,
8,MF,Andrea Rodebaugh,8 October 1966 (32),,,
9,FW,Lisa Náñez,10 March 1977 (22),,,United States Santa Clara Broncos
10,FW,Maribel Domínguez,18 November 1978 (20),,,
11,FW,Mónica Gerardo,10 November 1976 (22),,,
12,GK,Yvette Valdez,16 October 1973 (25),,,United States California Storm
13,FW,Mónica González,10 October 1978 (20),,,United States Notre Dame Fighting Irish
14,FW,Iris Mora,22 September 1981 (17),,,
15,MF,Laurie Hill,11 February 1970 (29),,,
16,FW,Nancy Pinzón,6 June 1974 (25),,,
17,MF,Kendyl Michner,3 May 1978 (21),,,United States Tennessee Volunteers
18,FW,Tánima Rubalcaba,24 December 1980 (18),,,
