China PR
1,GK,Zhong Honglian,27 October 1967 (24),,,China Dalian
2,DF,Chen Xia,26 November 1969 (21),,,China Guangdong
3,DF,Ma Li,3 March 1969 (22),,,China Beijing
4,MF,Li Xiufu,28 June 1965 (26),,,Japan Prima Ham FC
5,DF,Zhou Yang,1 February 1971 (20),,,China Dalian
6,DF,Shui Qingxia,18 December 1966 (24),,,China Shanghai
7,FW,Wu Weiying,19 January 1969 (22),,,China Guangdong
8,MF,Zhou Hua,3 October 1969 (22),,,China Dalian
9,MF,Sun Wen,6 April 1973 (18),,,China Shanghai
10,MF,Liu Ailing,2 May 1967 (24),,,China Beijing
11,FW,Sun Qingmei,19 June 1966 (25),,,China Hebei
12,DF,Wen Lirong,2 October 1969 (22),,,China Beijing
13,FW,Niu Lijie,12 April 1969 (22),,,China Changchun
14,FW,Zhang Yan,6 August 1972 (19),,,China Dalian
15,FW,Wei Haiying,5 January 1971 (20),,,China Guangdong
16,FW,Zhang Hongdong,20 March 1969 (22),,,China Beijing
17,MF,Zhu Tao,20 November 1974 (16),,,China Beijing
18,GK,Li Sa,3 January 1968 (23),,,China Beijing

Denmark
1,GK,Helle Bjerregaard,21 June 1968 (23),,,Denmark Rødovre BK
2,DF,Karina Sefron,2 July 1967 (24),,,Sweden Malmö FF
3,DF,Jannie Hansen,6 October 1963 (28),,,Denmark Rødovre BK
4,DF,Bonny Madsen,10 August 1967 (24),,,Sweden Malmö FF
5,DF,Helle Rotbøll,8 October 1963 (28),,,Denmark HEI Aarhus
6,DF,Mette Nielsen,15 June 1964 (27),,,Denmark Vorup FB
7,MF,Susan Mackensie,24 December 1962 (28),,,Denmark HEI Aarhus
8,MF,Lisbet Kolding,6 April 1965 (26),,,Denmark HEI Aarhus
9,FW,Annie Gam-Pedersen,5 July 1965 (26),,,Denmark Odense BK
10,FW,Helle Jensen,23 March 1969 (22),,,Denmark B 1909
11,FW,Hanne Nissen,21 November 1970 (20),,,Denmark Odense BK
12,MF,Irene Stelling,25 July 1971 (20),,,Denmark HEI Aarhus
13,FW,Annette Thychosen,30 August 1968 (23),,,Denmark Odense BK
14,MF,Marianne Jensen,14 January 1970 (21),,,Denmark HEI Aarhus
15,MF,Rikke Holm,22 March 1972 (19),,,Denmark B 1909
16,GK,Gitte Hansen,21 September 1961 (30),,,Denmark B 1909
17,MF,Lotte Bagge,21 May 1968 (23),,,Denmark B 1909
18,MF,Janne Rasmussen,18 July 1970 (21),,,Denmark B 1909

New Zealand
1,GK,Leslie King,13 November 1963 (28),,,
2,DF,Jocelyn Parr,5 March 1967 (24),,,
3,DF,Cinnamon Chaney,10 January 1969 (22),,,
4,DF,Lynley Pedruco,11 October 1960 (31),,,
5,MF,Deborah Pullen,20 September 1961 (30),,,
6,MF,Lorraine Taylor,20 September 1961 (30),,,
7,MF,Maureen Jacobson,7 December 1961 (29),,,
8,MF,Monique van de Elzen,17 July 1967 (24),,,
9,FW,Wendi Henderson,16 July 1971 (20),,,
10,MF,Donna Baker,27 February 1966 (25),,,
11,FW,Amanda Crawford,16 February 1971 (20),,,
12,MF,Julia Campbell,1 April 1965 (26),,,
13,DF,Kim Nye,10 May 1961 (30),,,
14,DF,Maria George,3 March 1965 (26),,,
15,DF,Terry McCahill,1 September 1970 (21),,,
16,DF,Vivienne Robertson,18 June 1955 (36),,,
17,MF,Lynne Warring,1 December 1963 (27),,,
