Nigeria
1,GK,Ugochi Opara,27 May 1976 (27),,,
2,MF,Efioanwan Ekpo,25 January 1984 (19),,,
3,DF,Bunmi Kayode,13 April 1985 (18),,,
4,MF,Perpetua Nkwocha,3 January 1976 (27),,,
5,DF,Onome Ebi,8 May 1983 (20),,,
6,DF,Florence Ajayi,28 April 1977 (26),,,
7,MF,Stella Mbachu,16 April 1978 (25),,,
8,FW,Olaitan Yusuf,12 January 1982 (21),,,
9,MF,Faith Ikidi,28 February 1987 (16),,,
10,FW,Mercy Akide,26 August 1975 (28),,,
11,FW,Nkechi Egbe,5 February 1978 (25),,,
12,GK,Precious Dede,18 January 1980 (23),,,
13,MF,Nkiru Okosieme,1 March 1972 (31),,,
14,DF,Ifeanyi Chiejine,17 May 1983 (20),,,
15,MF,Maureen Mmadu,7 May 1975 (28),,,
16,DF,Florence Iweta,29 March 1983 (20),,,
17,DF,Florence Omagbemi,2 February 1975 (28),,,
18,MF,Patience Avre,10 June 1976 (27),,,
19,GK,Esther Okhae,12 March 1986 (17),,,
20,FW,Vera Okolo,5 January 1985 (18),,,

North Korea DPR
1,GK,Ri Jong-hui,20 August 1975 (28),,,
2,DF,Yun In-sil,10 January 1976 (27),,,
3,DF,Kim Hwa-song,19 August 1985 (18),,,
5,DF,Sin Kum-ok,25 November 1975 (27),,,
6,DF,Ra Mi-ae,8 December 1975 (27),,,
7,FW,Ri Kum-suk,16 August 1978 (25),,,
8,FW,Pak Kum-chun,22 February 1978 (25),,,
9,MF,Ho Sun-hui,5 March 1980 (23),,,
10,FW,Jin Pyol-hui,19 August 1980 (23),,,
11,MF,Yun Yong-hui,18 March 1977 (26),,,
12,DF,Jang Ok-gyong,29 January 1980 (23),,,
13,DF,Song Jong-sun,11 March 1981 (22),,,
14,MF,O Kum-ran,18 September 1981 (22),,,
15,MF,Ri Un-gyong,19 November 1980 (22),,,
16,FW,Pak Kyong-sun,23 June 1985 (18),,,
17,DF,Jon Hye-yong,16 February 1977 (26),,,
18,GK,Chon Kyong-hwa,7 August 1983 (20),,,
19,MF,Ri Hyang-ok,18 December 1977 (25),,,
20,DF,Ri Un-ju,25 October 1983 (19),,,

Sweden
1,GK,Caroline Jönsson,22 November 1977 (25),44,0,
2,DF,Karolina Westberg,16 May 1978 (25),82,0,
3,DF,Jane Törnqvist,9 May 1975 (28),83,10,
4,DF,Hanna Marklund,26 November 1977 (25),62,3,
5,DF,Kristin Bengtsson,12 January 1970 (33),125,14,
6,MF,Malin Moström,1 August 1975 (28),68,11,
7,DF,Sara Larsson,13 May 1979 (24),36,2,
8,MF,Frida Nordin,23 May 1982 (21),14,1,
9,MF,Malin Andersson,4 May 1973 (30),127,36,
10,FW,Hanna Ljungberg,8 January 1979 (24),90,51,
11,FW,Victoria Svensson,18 May 1977 (26),85,33,
12,GK,Sofia Lundgren,20 September 1982 (21),7,0,
13,MF,Sara Johansson,23 January 1980 (23),8,1,
14,MF,Linda Fagerström,17 March 1977 (26),72,7,
15,MF,Therese Sjögran,4 August 1977 (26),58,4,
16,FW,Salina Olsson,29 August 1978 (25),36,7,
17,MF,Anna Sjöström,23 April 1977 (26),21,2,
18,DF,Frida Östberg,10 December 1977 (25),8,1,
19,DF,Sara Call,16 July 1977 (26),34,1,
20,FW,Josefine Öqvist,23 July 1983 (20),5,1,

USA
1,GK,Briana Scurry,7 September 1971 (32),,,United States Atlanta Beat
2,DF,Kylie Bivens,24 October 1978 (24),,,United States Atlanta Beat
3,DF,Christie Pearce,24 June 1975 (28),,,United States New York Power
4,DF,Cat Reddick,10 February 1982 (21),,,United States University of North Carolina
5,MF,Tiffany Roberts,5 May 1977 (26),,,United States Carolina Courage
6,DF,Brandi Chastain,21 July 1968 (35),,,United States San Jose CyberRays
7,MF,Shannon Boxx,29 June 1977 (26),,,United States New York Power
8,FW,Shannon MacMillan,7 October 1974 (28),,,United States San Diego Spirit
9,FW,Mia Hamm,17 March 1972 (31),,,United States Washington Freedom
10,MF,Aly Wagner,10 August 1980 (23),,,United States Boston Breakers
11,MF,Julie Foudy,23 January 1971 (32),,,United States San Diego Spirit
12,FW,Cindy Parlow,8 May 1978 (25),,,United States Atlanta Beat
13,MF,Kristine Lilly,22 July 1971 (32),,,United States Boston Breakers
14,DF,Joy Fawcett,8 February 1968 (35),,,United States San Diego Spirit
15,DF,Kate Sobrero,23 August 1976 (27),,,United States Boston Breakers
16,FW,Tiffeny Milbrett,23 October 1972 (30),,,United States New York Power
17,DF,Danielle Slaton,10 June 1980 (23),,,United States Carolina Courage
18,GK,Siri Mullinix,22 May 1978 (25),,,United States Washington Freedom
19,MF,Angela Hucles,5 July 1978 (25),,,United States San Diego Spirit
20,FW,Abby Wambach,2 June 1980 (23),,,United States Washington Freedom

Brazil
1,GK,Andréia,14 September 1977 (26),,,
2,FW,Simone,10 February 1981 (22),,,
3,DF,Juliana,3 October 1981 (21),,,
4,DF,Tânia,3 October 1974 (28),,,
5,MF,Renata Costa,8 July 1986 (17),,,
6,MF,Michele,10 June 1984 (19),,,
7,FW,Formiga,3 March 1978 (25),,,
8,MF,Rafaela,23 May 1981 (22),,,
9,FW,Kelly,8 May 1985 (18),,,
10,FW,Marta,19 February 1986 (17),,,
11,FW,Cristiane,15 May 1985 (18),,,
12,GK,Giselle,20 November 1983 (19),,,
13,DF,Mônica,4 April 1978 (25),,,
14,FW,Rosana,7 July 1982 (21),,,
15,DF,Renata Diniz,1 November 1985 (17),,,
16,FW,Maycon,30 April 1977 (26),,,
17,FW,Kátia,18 February 1977 (26),,,
18,FW,Daniela,12 January 1984 (19),,,
19,MF,Priscila,10 March 1982 (21),,,
20,MF,Milene,18 June 1979 (24),,,

France
1,GK,Céline Marty,30 March 1976 (27),,,
2,DF,Sabrina Viguier,4 January 1981 (22),,,
3,DF,Peggy Provost,19 September 1977 (26),,,
4,DF,Laura Georges,20 August 1984 (19),,,
5,DF,Corinne Diacre,4 August 1974 (29),,,
6,MF,Sandrine Soubeyrand,16 August 1973 (30),,,
7,FW,Stéphanie Mugneret-Béghé,22 March 1974 (29),,,
8,MF,Sonia Bompastor,8 June 1980 (23),,,
9,FW,Marinette Pichon,26 November 1975 (27),,,
10,MF,Élodie Woock,13 January 1976 (27),,,
11,MF,Amélie Coquet,31 December 1984 (18),,,
12,MF,Séverine Lecouflé,31 March 1975 (28),,,
13,DF,Anne-Laure Casseleux,13 January 1984 (19),,,
14,MF,Virginie Dessalle,3 July 1981 (22),,,
15,FW,Laëtitia Tonazzi,31 January 1981 (22),,,
16,GK,Bérangère Sapowicz,6 February 1983 (20),,,
17,FW,Marie-Ange Kramo,20 February 1979 (24),,,
18,FW,Hoda Lattaf,31 August 1978 (25),,,
19,DF,Severine Goulois,18 April 1982 (21),,,
20,DF,Emmanuelle Sykora,21 February 1976 (27),,,

Norway
1,GK,Bente Nordby,23 July 1974 (29),119,,Norway Kolbotn
2,DF,Brit Sandaune,5 June 1972 (31),115,,Norway Trondheims-Ørn
3,DF,Ane Stangeland,2 June 1980 (23),27,,Norway Klepp
4,DF,Monica Knudsen,25 March 1975 (28),81,,Norway Asker
5,MF,Karin Bredland,7 January 1978 (25),1,,Norway Røa
6,MF,Hege Riise,18 July 1969 (34),177,,United States Carolina Courage
7,FW,Trine Rønning,14 June 1982 (21),30,,Norway Kolbotn
8,MF,Solveig Gulbrandsen,12 January 1981 (22),67,,Norway Kolbotn
9,FW,Anita Rapp,24 July 1976 (27),58,,Norway Asker
10,MF,Unni Lehn,7 June 1977 (26),88,,United States Carolina Courage
11,FW,Marianne Pettersen,12 April 1975 (28),93,,Norway Asker
12,GK,Silje Vesterbekkmo,22 June 1983 (20),,,Norway Røa
13,DF,Anne Tønnessen,18 March 1974 (29),59,,Norway Klepp
14,FW,Dagny Mellgren,19 June 1978 (25),71,,United States Boston Breakers
15,DF,Marit Fiane Christensen,11 December 1980 (22),6,,Norway Asker
16,DF,Gunhild Følstad,3 November 1981 (21),3,,Norway Trondheims-Ørn
17,FW,Linda Ørmen,22 March 1977 (26),46,,Norway Asker
18,FW,Ingrid Camilla Fosse Sæthre,19 January 1978 (25),15,,Norway Arna-Bjørnar
19,MF,Kristine Edner,8 March 1976 (27),10,,Norway Røa
20,MF,Lise Klaveness,19 April 1981 (22),10,,Norway Asker

Korea Rep
1,GK,Jung Ho-jung,11 May 1976 (27),,,South Korea INI Steel
2,MF,Kim Ju-hee,10 March 1985 (18),,,South Korea Wirye Information Industry HS
3,MF,Hong Kyung-suk,14 October 1984 (18),,,South Korea Yeojoo Institute of Technology
4,DF,Kim Yu-jin,17 July 1979 (24),,,South Korea INI Steel
5,DF,Park Hae-jung,10 March 1977 (26),,,South Korea INI Steel
6,DF,Jin Suk-hee,9 July 1978 (25),,,South Korea INI Steel
7,FW,Park Eun-sun,25 December 1986 (16),,,South Korea Wirye Information Industry HS
8,MF,Hwang In-sun,2 February 1976 (27),,,South Korea INI Steel
9,MF,Song Ju-hee,30 October 1977 (25),,,South Korea INI Steel
10,MF,Kim Jin-hee,26 March 1981 (22),,,South Korea Ulsan College
11,FW,Lee Ji-eun,16 December 1979 (23),,,South Korea INI Steel
12,GK,Kim Jung-mi,16 October 1984 (18),,,South Korea Yeungjin College
13,MF,Kim Yoo-jin,26 September 1981 (21),,,South Korea INI Steel
14,MF,Han Jin-sook,15 December 1979 (23),,,South Korea Daekyo Kangaroos
15,MF,Kim Kyul-sil,13 April 1982 (21),,,South Korea Yeojoo Institute of Technology
16,MF,Shin Sun-nam,30 May 1981 (22),,,South Korea INI Steel
17,FW,Sung Hyun-ah,5 May 1982 (21),,,South Korea Daekyo Kangaroos
18,DF,Kim Yu-mi,15 August 1979 (24),,,South Korea INI Steel
19,MF,Lee Myung-hwa,29 July 1973 (30),,,South Korea INI Steel
20,DF,Yoo Young-sil,1 May 1975 (28),,,South Korea INI Steel

Argentina
1,GK,Romina Ferro,26 June 1980 (23),,,Argentina River Plate
2,DF,Clarisa Huber,22 December 1984 (18),,,Unattached
3,DF,Mariela Ricotti,2 April 1979 (24),,,Argentina Boca Juniors
4,DF,Andrea Gonsebate,7 May 1977 (26),,,Unattached
5,MF,Marisa Gerez,3 November 1976 (26),,,Argentina Boca Juniors
6,DF,Noelia López,29 July 1978 (25),,,Unattached
7,FW,Karina Alvariza,11 April 1976 (27),,,Argentina Boca Juniors
8,MF,Natalia Gatti,20 October 1982 (20),,,Unattached
9,DF,Yesica Arrien,1 July 1980 (23),,,Argentina Gimnasia y Esgrima
10,MF,Rosana Gómez,13 July 1980 (23),,,Argentina Boca Juniors
11,FW,Marisol Medina,11 May 1980 (23),,,Unattached
12,GK,Vanina Correa,14 August 1983 (20),,,Argentina Banfield
13,DF,Nancy Díaz,14 March 1973 (30),,,Argentina Boca Juniors
14,FW,Fabiana Vallejos,30 June 1985 (18),,,Argentina River Plate
15,MF,Yanina Gaitán,3 June 1978 (25),,,Argentina Boca Juniors
16,DF,Adela Medina,3 November 1978 (24),,,Unattached
17,DF,Valeria Cotelo,26 March 1984 (19),,,Unattached
18,FW,Mariela Coronel,20 June 1981 (22),,,Argentina Independiente
19,DF,Celeste Barbitta,22 May 1979 (24),,,Unattached
20,FW,Elizabeth Villanueva,29 October 1974 (28),,,Argentina Boca Juniors

Canada
1,GK,Karina LeBlanc,30 March 1980 (23),,,
2,FW,Christine Latham,15 September 1981 (22),,,
3,DF,Linda Consolante,23 May 1982 (21),,,
4,DF,Sasha Andrews,24 February 1983 (20),,,
5,MF,Andrea Neil,26 October 1971 (31),,,
6,DF,Sharolta Nonen,30 December 1977 (25),,,
7,DF,Isabelle Morneau,18 April 1976 (27),,,
8,MF,Kristina Kiss,13 February 1981 (22),,,
9,MF,Rhian Wilkinson,12 May 1982 (21),,,
10,FW,Charmaine Hooper,15 January 1968 (35),,,
11,DF,Randee Hermus,14 November 1979 (23),,,
12,FW,Christine Sinclair,12 June 1983 (20),,,
13,MF,Diana Matheson,16 April 1984 (19),,,
14,MF,Carmelina Moscato,2 May 1984 (19),,,
15,MF,Kara Lang,22 October 1986 (16),,,
