Canada
1,GK,Erin McLeod,26 February 1983 (32),110,0,United States Houston Dash
2,DF,Emily Zurrer,12 July 1987 (27),82,3,Sweden Jitex BK
3,DF,Kadeisha Buchanan,5 November 1995 (19),40,2,United States West Virginia Univ.
4,DF,Carmelina Moscato,2 May 1984 (31),94,2,Unattached
5,DF,Robyn Gayle,31 October 1985 (29),81,2,Unattached
6,MF,Kaylyn Kyle,6 October 1988 (26),101,6,United States Portland Thorns
7,DF,Rhian Wilkinson,12 May 1982 (33),166,7,United States Portland Thorns
8,MF,Diana Matheson,6 April 1984 (31),167,15,United States Washington Spirit
9,FW,Josée Bélanger,14 May 1986 (29),35,5,Unattached
10,DF,Lauren Sesselmann,14 August 1983 (31),44,0,United States Houston Dash
11,MF,Desiree Scott,31 July 1987 (27),95,0,England Notts County
12,FW,Christine Sinclair,12 June 1983 (31),228,155,United States Portland Thorns
13,MF,Sophie Schmidt,28 June 1988 (26),137,16,Unattached
14,FW,Melissa Tancredi,27 December 1981 (33),105,22,United States Chicago Red Stars
15,DF,Allysha Chapman,25 January 1989 (26),17,1,United States Houston Dash
16,FW,Jonelle Filigno,24 September 1990 (24),71,11,United States Sky Blue
17,MF,Jessie Fleming,11 March 1998 (17),18,1,Canada Nor'West SC
18,MF,Selenia Iacchelli,5 June 1986 (29),4,0,Unattached
19,FW,Adriana Leon,2 October 1992 (22),38,5,United States Chicago Red Stars
20,DF,Marie-Ève Nault,16 February 1982 (33),68,0,Unattached
21,GK,Stephanie Labbé,10 October 1986 (28),20,0,Unattached
22,DF,Ashley Lawrence,11 June 1995 (19),23,1,United States West Virginia Univ.
23,GK,Karina LeBlanc,30 March 1980 (35),110,0,United States Chicago Red Stars

China PR
1,GK,Zhang Yue,30 September 1990 (24),48,0,China Beijing BG
2,DF,Liu Shanshan,16 March 1992 (23),33,0,China Hebei Zhongji
3,DF,Pang Fengyue,19 January 1989 (26),50,7,China Dalian Junfeng
4,DF,Li Jiayue,8 June 1990 (24),45,1,China Shanghai Vinpac
5,DF,Wu Haiyan,26 February 1993 (22),50,0,China Shandong
6,DF,Li Dongna,6 December 1988 (26),50,5,South Korea Suwon FMC
7,MF,Xu Yanlu,16 September 1991 (23),27,3,China Jiangsu Huatai
8,MF,Ma Jun,6 March 1989 (26),50,15,South Korea Daejeon Sportstoto
9,FW,Wang Shanshan,27 January 1990 (25),41,0,China Tianjin Huisen
10,FW,Li Ying,7 January 1993 (22),8,2,China Shandong
11,FW,Wang Shuang,23 January 1995 (20),11,1,China Wuhan Jianghan Univ.
12,GK,Wang Fei,22 March 1990 (25),52,0,Germany Turbine Potsdam
13,FW,Tang Jiali,16 March 1995 (20),10,2,China Shanghai Vinpac
14,FW,Zhao Rong,2 August 1991 (23),14,0,China Beijing BG
15,MF,Lei Jiahui,22 September 1995 (19),6,0,China Henan
16,MF,Lou Jiahui,26 May 1991 (24),45,1,China Henan
17,FW,Gu Yasha,28 November 1990 (24),87,10,China Beijing BG
18,FW,Han Peng,20 December 1989 (25),52,3,China Tianjin Huisen
19,MF,Tan Ruyin,17 July 1994 (20),8,0,China Guangdong Sports Lottery
